Name	N_interval	Total_length
interval_001.interval_list	10	29268124
interval_002.interval_list	1	73835823
interval_003.interval_list	40	22774904
interval_004.interval_list	1	56413061
interval_005.interval_list	5	42777909
interval_006.interval_list	7	32904834
interval_007.interval_list	1	54525513
interval_008.interval_list	22	40729709
interval_009.interval_list	1	16568862
interval_010.interval_list	1	84213158
interval_011.interval_list	4	9040628
interval_012.interval_list	4	9826882
interval_013.interval_list	1	56278383
interval_014.interval_list	11	24185786
interval_015.interval_list	1	100537106
interval_016.interval_list	1	3975178
interval_017.interval_list	18	49200913
interval_018.interval_list	2	22717260
interval_019.interval_list	1	114748301
interval_020.interval_list	3	807692
interval_021.interval_list	2	46345639
interval_022.interval_list	1	42230486
interval_023.interval_list	1	47100944
interval_024.interval_list	2	42028185
interval_025.interval_list	28	32549370
interval_026.interval_list	25	25923446
interval_027.interval_list	1	33501953
interval_028.interval_list	1	61728923
interval_029.interval_list	4	13305596
interval_030.interval_list	1	222483
interval_031.interval_list	1	50088146
interval_032.interval_list	45	46537367
interval_033.interval_list	18	42492285
interval_034.interval_list	19	15565838
interval_035.interval_list	18	44868841
interval_036.interval_list	1	38440851
interval_037.interval_list	1	56040063
interval_038.interval_list	2	3447505
interval_039.interval_list	51	49928536
interval_040.interval_list	3	21772258
interval_041.interval_list	4	48284631
interval_042.interval_list	61	47109734
interval_043.interval_list	1	74420626
interval_044.interval_list	4	9365271
interval_045.interval_list	1	1102758
interval_046.interval_list	1	49571117
interval_047.interval_list	5	41946726
interval_048.interval_list	1	38568931
interval_049.interval_list	3	34696691
interval_050.interval_list	1	71516775
interval_051.interval_list	5	24278020
interval_052.interval_list	1	44583209
interval_053.interval_list	2	48554782
interval_054.interval_list	3	2465914
interval_055.interval_list	1	88349539
interval_056.interval_list	6	8482814
interval_057.interval_list	1	53620201
interval_058.interval_list	2	19601745
interval_059.interval_list	29	34850316
interval_060.interval_list	2	43807325
interval_061.interval_list	32	31186771
interval_062.interval_list	4	46319358
interval_063.interval_list	2	48949134
interval_064.interval_list	3	25768109
interval_065.interval_list	4	24421778
interval_066.interval_list	1	31397200
interval_067.interval_list	29	31233927
interval_068.interval_list	3	27978432
interval_069.interval_list	28	34652438
interval_070.interval_list	4	34954562
interval_071.interval_list	11	49414162
interval_072.interval_list	3	23479516
interval_073.interval_list	3	43209540
interval_074.interval_list	5	35007320
